FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27
2015-01-01,NK,195,MCO,FLL,2147,2143.0,-4.0,15.0,2158.0,2238.0,7.0,2250,2245.0,-5.0,0.0,,0.0,63.0,62.0,40.0,177.0,,,,,,
2015-01-01,NK,197,LGA,FLL,1050,1104.0,14.0,20.0,1124.0,1354.0,9.0,1404,1403.0,-1.0,0.0,,0.0,194.0,179.0,150.0,1076.0,,,,,,
2015-01-01,NK,198,FLL,MCO,700,712.0,12.0,19.0,731.0,803.0,10.0,757,813.0,16.0,0.0,,0.0,57.0,61.0,32.0,177.0,0.0,0.0,16.0,0.0,0.0,
2015-01-01,NK,199,IAH,LAS,2240,2251.0,11.0,8.0,2259.0,2343.0,4.0,2356,2347.0,-9.0,0.0,,0.0,196.0,176.0,164.0,1222.0,,,,,,
2015-01-01,NK,200,IAH,ORD,623,620.0,-3.0,15.0,635.0,830.0,10.0,855,840.0,-15.0,0.0,,0.0,152.0,140.0,115.0,925.0,,,,,,
2015-01-01,NK,201,FLL,STT,1253,1258.0,5.0,24.0,1322.0,1634.0,10.0,1630,1644.0,14.0,0.0,,0.0,157.0,166.0,132.0,1107.0,,,,,,
2015-01-01,NK,202,DFW,BWI,1342,1337.0,-5.0,11.0,1348.0,1700.0,5.0,1724,1705.0,-19.0,0.0,,0.0,162.0,148.0,132.0,1217.0,,,,,,
2015-01-01,NK,203,BOS,PBI,1555,1554.0,-1.0,17.0,1611.0,1903.0,5.0,1913,1908.0,-5.0,0.0,,0.0,198.0,194.0,172.0,1197.0,,,,,,
2015-01-01,NK,204,PBI,BOS,1205,1204.0,-1.0,11.0,1215.0,1455.0,9.0,1505,1504.0,-1.0,0.0,,0.0,180.0,180.0,160.0,1197.0,,,,,,
2015-01-01,NK,209,ORD,OAK,1534,1534.0,0.0,11.0,1545.0,1736.0,6.0,1819,1742.0,-37.0,0.0,,0.0,285.0,248.0,231.0,1836.0,,,,,,
2015-01-01,NK,212,STT,FLL,1720,1721.0,1.0,14.0,1735.0,1911.0,7.0,1924,1918.0,-6.0,0.0,,0.0,184.0,177.0,156.0,1107.0,,,,,,
2015-01-01,NK,214,LAS,DFW,103,102.0,-1.0,13.0,115.0,523.0,6.0,530,529.0,-1.0,0.0,,0.0,147.0,147.0,128.0,1055.0,,,,,,
2015-01-01,NK,215,PHL,DFW,2059,2051.0,-8.0,23.0,2114.0,2350.0,6.0,2352,2356.0,4.0,0.0,,0.0,233.0,245.0,216.0,1303.0,,,,,,
2015-01-01,NK,216,LAX,IAH,1648,1641.0,-7.0,27.0,1708.0,2159.0,10.0,2155,2209.0,14.0,0.0,,0.0,187.0,208.0,171.0,1379.0,,,,,,
2015-01-01,NK,217,IAH,LAX,1424,1423.0,-1.0,11.0,1434.0,1541.0,10.0,1603,1551.0,-12.0,0.0,,0.0,219.0,208.0,187.0,1379.0,,,,,,
2015-01-01,NK,218,FLL,ACY,800,815.0,15.0,12.0,827.0,1037.0,6.0,1025,1043.0,18.0,0.0,,0.0,145.0,148.0,130.0,977.0,0.0,0.0,18.0,0.0,0.0,
2015-01-01,NK,219,ORD,ATL,1105,1103.0,-2.0,10.0,1113.0,1340.0,6.0,1355,1346.0,-9.0,0.0,,0.0,110.0,103.0,87.0,606.0,,,,,,
2015-01-01,NK,596,FLL,MSP,2131,,,,,,,19,,,1.0,A,0.0,228.0,,,1487.0,,,,,,
2015-01-01,NK,597,MSP,FLL,115,127.0,12.0,14.0,141.0,527.0,40.0,542,607.0,25.0,0.0,,0.0,207.0,220.0,166.0,1487.0,0.0,0.0,25.0,0.0,0.0,
2015-01-01,NK,600,FLL,ATL,1607,1616.0,9.0,10.0,1626.0,1748.0,10.0,1805,1758.0,-7.0,0.0,,0.0,118.0,102.0,82.0,581.0,,,,,,
2015-01-01,NK,604,FLL,LGA,712,709.0,-3.0,15.0,724.0,952.0,27.0,1000,1019.0,19.0,0.0,,0.0,168.0,190.0,148.0,1076.0,0.0,0.0,19.0,0.0,0.0,
2015-01-01,NK,605,DTW,RSW,943,959.0,16.0,11.0,1010.0,1231.0,9.0,1237,1240.0,3.0,0.0,,0.0,174.0,161.0,141.0,1084.0,,,,,,
2015-01-01,NK,606,RSW,DTW,607,601.0,-6.0,14.0,615.0,850.0,10.0,853,900.0,7.0,0.0,,0.0,166.0,179.0,155.0,1084.0,,,,,,
2015-01-01,MQ,3697,BNA,ORD,1910,1927.0,17.0,10.0,1937.0,2057.0,59.0,2050,2156.0,66.0,0.0,,0.0,100.0,149.0,80.0,409.0,1.0,0.0,49.0,0.0,16.0,
